id;company_name;vat_number;phone;mobile;address
1;Assistant;57201;(524) 872-1664;Security;Team-oriented
2;pricing structure;39786;(680) 149-9159;Malta scale deposit;Tennessee relationships Ball
3;full-range;77288;(791) 917-4928 x9402;copying artificial intelligence Lilangeni;Awesome Steel Tuna
4;bluetooth Specialist;81624;1-238-586-0772;Compatible primary;Credit Card Account
5;Algerian Dinar;61273;1-772-676-4102 x91736;invoice Games invoice;Personal Loan Account Nevada
6;Court Balboa US Dollar FTP;7945;1-227-708-1515;Central African Republic Georgia;Robust ivory Ports
7;Future;36895;865-406-9941 x39158;Rustic Cotton Table;approach maroon Branding
8;Via;46256;829-541-2680 x61852;fuchsia transitional;intuitive Electronics real-time
9;Clothing;78294;(960) 819-4768;Kids Future Egypt;Intranet Ramp Latvian Lats
10;Internal New Leu Licensed;78576;1-496-449-9028 x179;Shirt quantify;generating
