id;name;barcode;description;unit;price
1;Generic Steel Tuna;website calculating;cross-platform support;navigate wireless Chilean Peso Unidades de fomento;9665
2;Legacy Dynamic magenta;THX actuating;deposit Division Rustic Steel Soap;withdrawal navigating Metical;43291
3;throughput;Union transmitting;New Zealand;Bedfordshire;4189
4;Malagasy Ariary Gloves;Drive neutral;Rustic Concrete Car;Computer Oklahoma Identity;20520
5;Security;Data Identity;Dynamic auxiliary;Human New Mexico Implementation;12092
6;Cape Verde;intangible homogeneous;Crossroad invoice;Liaison;22423
7;Shoes;Center Intelligent tangible;Checking Account methodical optical;Cheese rich multi-byte;80408
8;Forward project;hacking;efficient;Buckinghamshire;94611
9;applications;Implementation;wireless navigate grey;solution Automotive;56289
10;Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;Plastic convergence;back-end Automotive internet solution;93272
